acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
-990,-1724,3717,243,157,617
-1055,-2021,3740,178,156,585
-1077,-2210,3529,225,141,563
-1082,-2387,3485,107,98,622
-1052,-2532,3579,127,58,694
-1066,-2391,3561,288,31,768
-1020,-2099,3660,353,-1,827
-1023,-1758,3715,436,-20,827
-978,-1398,3654,504,-42,775
-915,-1313,3865,389,-53,712
-976,-1415,4074,467,-18,603
-1067,-1420,3954,587,22,500
-1143,-1519,3859,526,18,442
-1259,-1795,3741,276,-37,451
-1225,-2448,4235,-252,-119,605
-1116,-2562,4632,-541,-116,827
-1066,-2204,4662,-697,-3,1036
-1051,-1695,4362,-721,138,1131
-1039,-1365,3825,-697,261,1117
-1245,-1188,3182,-647,327,1046
-1331,-980,2588,-545,265,915
-1400,-1026,2393,-569,106,767


-1117,-1600,3706,301,-592,1347
-880,-813,3780,48,-867,1674
-833,-611,3772,193,-898,1591
-778,-569,3880,231,-918,1503
-778,-569,3880,231,-918,1503
-781,-599,3903,296,-923,1411
-715,-803,4128,344,-901,1334
-683,-738,4183,333,-872,1330
-633,-686,4209,315,-837,1323
-622,-586,4225,302,-798,1314
-614,-511,4176,309,-759,1276
-562,-521,4131,303,-729,1233
-568,-540,4116,292,-710,1215
-565,-416,4061,320,-700,1201
-540,-293,4006,319,-696,1161
-528,-260,4049,342,-708,1098
-530,-333,4057,397,-721,1031
-530,-333,4057,397,-721,1031
-466,-385,4134,418,-738,994
-419,-367,4196,424,-738,980
-402,-350,4227,437,-730,962
-362,-320,4305,501,-713,921
-344,-304,4280,549,-694,895
-315,-285,4160,596,-672,874
-315,-285,4160,596,-672,874
-247,-175,4203,557,-694,905
-218,-85,4308,542,-701,906
-172,-61,4352,566,-696,893
-137,-12,4344,563,-675,894
-140,86,4374,534,-647,898
-106,217,4311,527,-623,883
-111,340,4219,497,-602,851
-115,427,4118,469,-597,797
-81,460,3994,470,-615,721
-40,470,4001,458,-662,649
1,511,4073,445,-716,585
93,587,4259,358,-790,453
126,498,4360,260,-785,402
151,410,4410,243,-761,350
171,381,4406,274,-729,305
203,443,4427,162,-680,286
205,408,4421,-22,-616,272
245,365,4315,-45,-570,240
