acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,target
276,1061,4015,-87,105,36,0
214,877,3904,-61,95,-8,0
216,796,3994,-45,72,-19,0
149,707,3736,-68,69,-12,0
129,664,3714,-69,30,2,0
149,682,3852,-72,-12,24,0
221,710,4079,-86,-34,40,0
262,740,4203,-96,-19,48,0
260,755,4234,-96,0,50,0
296,855,4304,-96,17,55,0
302,988,4219,-105,49,45,0
224,894,4038,-101,66,13,0
213,804,4099,-101,53,-1,0
223,711,4138,-90,56,-10,0
191,596,4030,-75,67,-10,0
186,595,4013,-52,56,0,0
220,644,4139,-45,43,12,0
305,446,4877,178,223,449,0
294,460,4932,189,249,467,0
377,817,5117,191,329,517,0
383,880,5053,204,387,500,0
369,879,5030,221,429,483,0
417,949,5059,242,467,475,0
416,895,5103,255,511,458,0
424,855,5210,247,560,469,0
429,1007,5251,230,633,500,0
394,1226,5051,201,729,522,0
301,1373,4861,142,783,526,0
303,1429,4908,118,803,513,0
213,1535,4784,110,840,505,0
210,1605,4727,75,858,498,0
194,1710,4814,26,865,495,0
220,1801,4859,1,888,477,0
177,1801,4878,-37,919,454,0
202,1949,4956,-100,949,455,0
265,2203,4986,-158,998,435,0
228,2182,4912,-192,1057,367,0
276,2064,4821,-222,1108,314,0
275,1962,4721,-242,1150,270,0
223,1975,4713,-271,1188,245,0
234,2187,4696,-258,1241,217,0
50,2417,4120,-241,1359,33,0
-31,2287,3935,-202,1358,-72,0
-96,2321,3925,-148,1348,-159,0
-197,2364,4051,-49,1343,-274,0
-258,2215,3997,-65,1392,-355,0
-263,2215,3845,-125,1433,-402,0
-325,2083,3631,-195,1463,-461,0
-440,1856,3303,-237,1472,-511,0
-503,1673,3266,-231,1428,-541,0
-502,1754,3232,-249,1403,-542,0
-579,1989,2992,-223,1384,-588,0
-744,1875,2764,-179,1339,-684,0
-806,1498,2888,-198,1201,-784,0
-849,1280,2879,-227,1188,-805,0
-988,1308,2553,-202,1178,-808,0
-1120,1445,2293,-144,1108,-829,0
-1163,1596,2411,-94,1000,-873,0
-1160,1694,2472,-93,939,-932,0
-1257,1461,2253,-156,910,-1000,0
-1405,1100,1881,-182,850,-1043,0
-1487,990,1707,-135,729,-1049,0
-1487,990,1707,-135,729,-1049,0
-1483,987,1818,-74,592,-1065,0
-1489,730,1969,-25,485,-1102,0
-1537,385,2102,3,398,-1099,0
-1562,407,2230,30,324,-1036,0
-1553,707,2329,54,268,-992,0
-1590,849,2323,53,229,-1001,0
-1645,807,2298,45,179,-1033,0
-1686,730,2293,69,122,-1065,0
-1731,639,2291,99,54,-1081,0
-1712,690,2505,112,-30,-1077,0
-1592,908,2844,66,-101,-1145,0
-1629,626,2660,71,-106,-1213,0
-1659,635,2582,67,-143,-1227,0
-1614,792,2485,151,-204,-1271,0
-1534,643,2562,214,-295,-1338,0
-1488,446,2865,204,-372,-1373,0
-1485,250,3044,157,-395,-1372,0
-1479,79,2961,91,-389,-1351,0
-1476,54,2843,49,-403,-1324,0
-1490,89,2685,41,-429,-1310,0
-1510,8,2559,59,-483,-1315,0
-1484,-150,2704,49,-552,-1304,0
-1403,-324,2855,34,-588,-1281,0
-1404,-504,2813,31,-607,-1251,0
-1390,-578,2781,64,-647,-1215,0
-1330,-672,2808,128,-696,-1191,0
-1303,-791,2927,166,-745,-1155,0
-1233,-729,3004,159,-774,-1094,0
-1228,-596,2748,138,-793,-1052,0
-1343,-598,2547,136,-860,-1035,0
-1222,-577,2950,209,-1036,-998,0
-1177,-630,3101,251,-1080,-979,0
-1150,-602,3127,263,-1107,-950,0
-1115,-908,3235,246,-1134,-931,0
-1055,-1207,3483,219,-1164,-857,0
-989,-1097,3571,189,-1161,-737,0
-995,-940,3393,177,-1148,-653,0
-956,-859,3356,183,-1182,-603,0
-908,-885,3393,200,-1229,-568,0
-867,-942,3558,199,-1280,-517,0
-844,-765,3632,198,-1309,-450,0
-784,-599,3593,203,-1336,-414,0
-742,-660,3557,232,-1383,-404,0
-625,-663,3828,235,-1454,-367,0
-321,-783,4460,165,-1447,-289,0
-206,-910,4595,158,-1400,-251,0
-206,-910,4595,158,-1400,-251,0
-181,-911,4470,161,-1330,-214,0
-218,-1283,4199,253,-1301,-137,0
-113,-1115,4315,348,-1319,-53,0
-74,-865,4360,390,-1322,14,0
-4,-772,4519,376,-1316,73,0
105,-681,4560,307,-1297,134,0
145,-826,4775,296,-1286,175,0
256,-779,5009,328,-1257,239,0
391,-585,5123,297,-1192,297,0
362,-734,4946,279,-1105,314,0
373,-844,4834,311,-1056,354,0
424,-648,4883,353,-1022,413,0
399,-654,4757,371,-962,440,0
350,-818,4541,393,-925,479,0
331,-842,4426,423,-929,548,0
368,-754,4398,461,-947,622,0
467,-743,4709,486,-978,692,0
624,-516,5089,499,-961,778,0
624,-516,5089,499,-961,778,0
733,-211,5120,501,-875,835,0
779,-117,4978,514,-789,848,0
798,-22,4830,542,-727,860,0
833,-5,4846,573,-690,866,0
919,49,5306,527,-548,955,0
888,160,5146,515,-426,985,0
870,248,5025,517,-346,1010,0
960,520,5018,511,-289,1040,0
1035,387,5151,495,-232,1026,0
1082,268,5211,469,-151,1057,0
1087,630,4937,440,-54,1114,0
1037,842,4655,416,-2,1110,0
1033,874,4841,394,-5,1090,0
1090,999,5200,367,30,1085,0
1047,953,5126,334,136,1074,0
1003,874,4937,288,221,1080,0
979,874,4824,262,277,1095,0
948,776,4765,258,320,1097,0
925,702,4690,235,372,1126,0
869,918,4346,194,427,1169,0
850,1363,3843,179,433,1164,0
832,1151,3854,200,361,1071,0
845,728,4326,261,299,1035,0
943,1045,4480,292,324,1094,0
953,1547,4208,252,372,1111,0
935,1689,4233,186,358,1059,0
1030,1771,4683,189,343,986,0
1082,1850,4924,218,414,899,0
1034,1722,4662,236,525,794,0
882,1460,4141,272,590,705,0
686,1373,3898,300,511,647,0
700,1542,4217,225,491,641,0
685,1682,4303,159,534,608,0
635,1582,4124,144,590,535,0
591,1301,3947,149,616,474,0
523,984,3815,149,625,455,0
528,953,3712,142,604,483,0
533,1065,3680,122,566,497,0
482,1120,3696,102,525,489,0
490,1311,3877,66,487,484,0
482,1477,3854,67,488,445,0
368,1505,3503,128,484,368,0
257,1458,3360,144,422,300,0
256,1305,3613,117,347,256,0
264,1259,3880,78,325,243,0
265,1399,3920,53,350,233,0
259,1546,3771,39,383,192,0
198,1470,3376,36,399,122,0
139,1066,3156,50,348,56,0
231,776,3568,35,220,95,0
215,875,3529,-1,208,125,0
207,1042,3521,-19,185,133,0
184,1087,3448,-11,161,108,0
175,974,3455,17,121,70,0
173,913,3480,35,81,59,0
160,848,3547,11,45,61,0
189,965,3839,-37,17,87,0
197,1203,3899,-67,35,93,0
167,1206,3811,-99,58,55,0
161,1018,3849,-122,54,14,0
184,712,3969,-119,57,-6,0
186,618,3867,-92,75,6,0
141,769,3641,-67,69,25,0
193,808,3765,-50,17,16,0
242,680,4071,-69,-13,9,0
237,631,4120,-87,4,25,0
191,697,3996,-103,16,46,0
142,774,3910,-101,5,49,0
146,794,3942,-92,-14,37,0
148,691,3993,-87,-26,20,0
146,593,4011,-94,-30,26,0
165,619,4127,-91,-41,43,0
194,751,4242,-90,-31,55,0
177,793,4082,-89,0,44,0
187,658,4106,-90,-8,31,0
220,671,4274,-80,-13,41,0
251,736,4236,-80,9,49,0
251,665,4242,-118,29,52,0
227,688,4016,-73,33,49,0
246,745,4073,-52,-1,44,0
304,712,4334,-35,-21,34,0
306,712,4481,-22,-3,36,0
276,849,4474,-42,36,53,0
244,1038,4321,-66,80,50,0
155,1051,4076,-64,104,12,0
73,923,3900,-56,95,-22,0
56,774,3931,-56,66,-36,0
60,769,4039,-70,53,-25,0
472,254,5002,330,71,458,0
566,506,5306,302,77,502,0
659,750,5516,253,138,519,0
689,725,5565,205,223,500,0
616,560,5578,192,305,492,0
621,577,5545,198,378,517,0
634,614,5554,196,447,535,0
626,650,5636,174,522,554,0
588,813,5554,170,620,571,0
523,966,5253,202,719,558,0
442,986,4991,238,779,530,0
363,1065,4903,257,812,523,0
234,1137,4553,238,909,514,0
134,1323,4379,214,915,532,0
120,1506,4459,178,901,522,0
81,1465,4537,128,916,503,0
59,1501,4341,96,947,503,0
27,1625,4187,52,941,499,0
32,1603,4215,0,915,480,0
39,1512,4285,-34,898,465,0
97,1363,4375,-82,895,463,0
72,1273,4444,-180,917,503,0
74,1630,4422,-229,945,555,0
69,1942,4470,-240,974,537,0
39,2012,4701,-229,1011,477,0
144,2116,4932,-202,1094,420,0
108,2322,4881,-191,1222,348,0
127,2436,4791,-208,1341,261,0
50,2635,4254,-204,1471,153,0
-183,2586,3520,-139,1514,2,0
-284,2460,3336,-90,1429,-126,0
-348,2427,3421,-69,1342,-227,0
-401,2181,3456,-80,1288,-320,0
-445,1829,3606,-135,1246,-367,0
-459,1745,3797,-203,1233,-360,0
-505,1935,3717,-299,1268,-342,0
-728,2175,2916,-334,1295,-470,0
-854,1877,2763,-270,1227,-573,0
-840,1742,2907,-249,1155,-612,0
-820,1747,3160,-236,1111,-654,0
-877,1614,3226,-245,1117,-705,0
-928,1712,2990,-263,1153,-720,0
-1063,1676,2310,-131,1086,-891,0
-1108,1470,2305,-126,988,-949,0
-1136,1324,2316,-168,905,-975,0
-1237,1086,2189,-206,838,-996,0
