acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
622,686,3880,3,105,348
577,614,3791,18,79,290
515,320,3807,31,42,239
507,264,3824,38,16,235
494,239,3754,47,-5,229
510,198,3905,61,-43,219
528,246,4057,58,-53,219
538,320,4093,62,-46,207
558,240,4280,82,-46,171
560,199,4231,89,-17,156
537,248,4043,87,-5,147
534,186,4147,82,-31,121
538,81,4300,70,-34,112
540,176,4311,59,-13,120
525,240,4403,31,1,115
501,389,4457,18,36,99
454,356,4261,10,77,61
399,70,4230,-17,81,27
362,-117,4326,-52,84,37
380,49,4317,-76,108,70
373,243,4040,-84,130,57
291,43,3771,-76,105,4
299,-228,3857,-50,38,-16
322,-278,4032,-40,-6,2
358,-217,4170,-49,-18,23
369,-125,4231,-40,-10,30
363,-87,4255,-14,2,20
353,-119,4208,0,25,10
328,-254,4139,-3,41,9
314,-200,4007,-3,43,33
305,33,3924,-4,25,44
312,-9,3966,-11,1,19
312,-191,4097,-20,-17,5
324,-231,4162,-31,-18,23
343,-148,4144,-33,-8,40
342,-140,4156,-19,0,38
351,-137,4197,-7,7,37
348,-60,4111,10,22,34
339,-77,4016,38,22,19
357,-189,4155,48,5,24
335,-116,4018,9,15,41
323,-27,3967,-14,0,46
335,-36,4085,-5,-24,31
375,-82,4213,-9,-26,25
376,-122,4203,-16,-6,28
369,-90,4153,-10,6,33
385,-87,4133,-9,12,31
380,-111,4099,-12,16,27
388,-52,4066,-4,16,29
385,-99,4094,3,14,20
387,-170,4182,6,11,19
383,-98,4164,0,22,32
353,-31,4040,-8,32,32
352,-54,4018,0,21,20
340,-84,3998,0,14,13
337,-81,3950,-14,6,12
355,-113,4072,-20,-14,12
379,-97,4172,-27,-7,17
372,-56,4015,-42,11,18
361,-92,3943,-39,1,7
393,-95,4047,-15,-19,1
410,-121,4158,-11,-19,-4
377,-214,4164,-19,-5,-4
369,-180,4118,-19,9,12


462,485,5781,-14,606,-219
395,224,5738,-16,691,-262
337,254,5570,-12,765,-263
285,253,5360,22,821,-289
250,147,5416,67,845,-321
279,104,5619,104,888,-336
261,6,5558,114,971,-349
234,-27,5450,127,1045,-342
236,216,5319,158,1104,-330
243,301,5285,182,1153,-363
215,238,5245,195,1210,-401
165,160,5018,201,1277,-428
102,14,4796,196,1319,-446
63,-34,4601,183,1346,-448
-49,-8,4362,201,1363,-454
-72,109,4257,222,1379,-467
-134,135,3960,226,1392,-499
-227,-94,3770,218,1372,-539
-280,-302,3742,214,1344,-544
-326,-368,3588,200,1337,-521
-405,-365,3284,193,1323,-506
-468,-434,3175,197,1271,-504
-517,-620,3227,209,1223,-501
-567,-778,3266,220,1202,-468
-613,-661,3058,225,1203,-414
-699,-565,2720,233,1179,-386
-789,-570,2501,248,1111,-378
-894,-705,2390,254,1025,-369
-981,-900,2415,245,938,-335
-1038,-860,2347,236,875,-266
-1100,-726,2136,228,812,-206
-1114,-576,2161,230,713,-162
-1112,-388,2212,220,629,-138
-1187,-459,2046,197,565,-135
-1223,-479,1985,189,467,-110
-1211,-347,2051,179,366,-72
-1188,-310,2146,150,283,-55
-1195,-322,2145,120,221,-30
